Number,Reference,DOI,Year,Country_or_Region,Global South,Family,Networks,Links_EE,Links_SS,Links_SE,Links_detail,Nodes_EE,Nodes_SS,Mode,Weight
110,de Oliveira et al 2020,10.1371/journal.pone.0232601,2020,Costa Rica,Yes,Molossidae,Not SEN,Diet,NA,NA,Predation,Bats and insects,NA,Two-mode,Binary
111,McKee et al 2019,10.3389/fevo.2019.00069,2019,Netherlands and Belgium and Hungary and Romania,No,Vespertilionidae and Miniopteridae and Rhinolophidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies and Bartonella spp,NA,Tripartite,Weighted
112,Claire et al 2019,10.1111/mec.14941,2019,Costa Rica,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and mites and bat flies,NA,Two-mode,Weighted
112,Claire et al 2019,10.1111/mec.14941,2019,Costa Rica,Yes,Multifamily,Not SEN,Diet,NA,NA,Predation,Bats and insects,NA,Two-mode,Weighted
112,Claire et al 2019,10.1111/mec.14941,2019,Costa Rica,Yes,Multifamily,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Weighted
112,Claire et al 2019,10.1111/mec.14941,2019,Costa Rica,Yes,Multifamily,Not SEN,Diet,NA,NA,"Parasitism, mutualism and predation ",Bats and plants and insects,,Multiplex,Binary
113,Harten et al 2019,10.1016/j.cub.2019.04.066,2019,Israel,No,Pteropodidae,Not SEN,Social interactions,NA,NA,Social behaviour,Males and females of Rousettus aegyptiacus,NA,One-mode,Weighted
114,Rocha et al 2020,10.1016/j.prevetmed.2019.104809,2020,Brazil,Yes,Phyllostomidae,Not SEN,Use of space,NA,NA,Foraging,Farms and bat roosts,NA,Two-mode,Weighted
114,Rocha et al 2020,10.1016/j.prevetmed.2019.104809,2020,Brazil,Yes,Phyllostomidae,Not SEN,Use of space,NA,NA,Reproduction,Bat roosts,NA,Two-mode,Weighted
115,Ford et al 2016,10.4996/fireecology.1202013,2016,USA,No,Vespertilionidae,Not SEN,Use of space,NA,NA,Use of roost,Bats and roosts,NA,Two-mode,Weighted
116,Fagundes et al 2017,10.6620/ZS.2017.56-22,2017,Brazil,Yes,Phyllostomidae and Emballonuridae and Molossidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
117,Rathinakumar et al 2016,10.1163/1568539X-00003410,2016,India,Yes,Pteropodidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Males and females of Cynopterus sphinx,NA,Both,Weighted
118,Urbano et al 2024,10.1016/j.ijpara.2024.05.001,2024,Colombia,Yes,Phyllostomidae,Not SEN,Host-pathogen interactions,NA,NA,Feeding behavior,Mammals including bats and individuals of Rhodnius prolixus,NA,Two-mode,Weighted
119,Lievano-­Latorre et al 2022,10.1111/btp.13181,2022,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Pollination,Bats and plants,NA,Two-mode,Binary
120,Millan et al 2024,10.1016/j.cimid.2024.102151,2024,Global,No,Mollossidae and Verpersilionidae and Phyllostomidae,Not SEN,Evolutionary dynamics,NA,NA,Evolutionary relationship,Mammals including bats,NA,One-mode,Binary
121,Junior et al 2020,10.3161/15081109ACC2020.22.1.018,2020,Global ,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Binary
122,Ancillotto et al 2020,10.1002/ece3.6317,2020,North Africa,Yes,Vespertilionidae,Not SEN,Evolutionary dynamics,NA,NA,Evolutionary relationship,Haplotypes of Plecotus gaisleri and Plecotus gaisleri and Plecotus teneriffae,NA,One-mode,Binary
